JST時刻,raw_pulse_rpm,display_rpm,速度_kmh,緯度,経度,UTC時刻
2026-05-29 13:42:46.385,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.487,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.592,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.698,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.772,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.879,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:46.974,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:47.078,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:47.179,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:47.284,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:47.391,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:47.495,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:47.573,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:47.681,0,0,0.0,0.000000,0.000000,00:00:00
